document_id,cik,company,form,filing_date,report_date,year,filing_path,raw_bytes,size_bucket,p_count,div_count,span_count,table_count,td_count,th_count,html_heading_tag_count,heading_candidate_count,heading_inside_table_count,heading_inside_table_ratio,heading_reachable_count,heading_reachable_ratio,maximum_heading_table_depth,dominant_heading_tag,dominant_text_tag,structural_signature,structural_family,current_parser_risk,parser_archetype,selection_order
sec_0001646972_0001646972-26-000010,0001646972,"Albertsons Companies, Inc.",10-Q,2026-01-07,2025-11-29,2025,sec/0001646972/0001646972-26-000010/aci-20251129.htm,1291795,medium,0,972,2963,36,6505,0,0,26,13,0.5,0,0.0,1,span,span,heading_tag=span|heading_reach=0|heading_table=medium|p=0|div=251_plus|span=251_plus|table=11_50|headings=11_50,SF_d41567ce83,high,heading=span|reach=0|table=medium|p=absent,82
sec_0001635077_0001683168-26-001986,0001635077,"Aclarion, Inc.",10-K,2026-03-18,2025-12-31,2025,sec/0001635077/0001683168-26-001986/aclarion_i10k-123125.htm,1965143,medium,2852,284,3398,310,8471,0,0,49,36,0.7347,13,0.2653,1,b,span,heading_tag=b|heading_reach=medium|heading_table=medium|p=251_plus|div=251_plus|span=251_plus|table=251_plus|headings=11_50,SF_b316c37d5a,medium,heading=b|reach=medium|table=medium|p=present,83
sec_0002096362_0001193125-26-277544,0002096362,AIAI Holdings Corp,10-Q,2026-06-22,2026-03-31,2026,sec/0002096362/0001193125-26-277544/aiai-20260331.htm,2326590,large,4521,490,5487,37,4272,0,2,25,13,0.52,12,0.48,1,span,span,heading_tag=span|heading_reach=medium|heading_table=medium|p=251_plus|div=251_plus|span=251_plus|table=11_50|headings=11_50,SF_26da39a516,medium,heading=span|reach=medium|table=medium|p=present,84
sec_0000008177_0001140361-24-046143,0000008177,ATLANTIC AMERICAN CORP,10-Q,2024-11-12,2024-09-30,2024,sec/0000008177/0001140361-24-046143/ef20034523_10q.htm,1807028,medium,0,2813,444,75,6524,0,0,16,8,0.5,0,0.0,1,div,div,heading_tag=div|heading_reach=0|heading_table=medium|p=0|div=251_plus|span=251_plus|table=51_250|headings=11_50,SF_8c4a221f32,high,heading=div|reach=0|table=medium|p=absent,85
sec_0001603345_0001477932-26-004133,0001603345,Agentix Corp.,10-K,2026-07-01,2026-03-31,2026,sec/0001603345/0001477932-26-004133/agtx_10k.htm,546871,small,2597,1,79,67,2178,0,0,54,27,0.5,27,0.5,1,strong,p,heading_tag=strong|heading_reach=medium|heading_table=medium|p=251_plus|div=1_10|span=51_250|table=51_250|headings=51_250,SF_371cbe4c0b,medium,heading=strong|reach=medium|table=medium|p=present,86
sec_0000880266_0000880266-26-000068,0000880266,AGCO CORP /DE,10-Q,2026-07-30,2026-06-30,2026,sec/0000880266/0000880266-26-000068/agco-20260630.htm,2153923,large,0,1441,4252,69,10066,0,0,22,11,0.5,0,0.0,1,span,span,heading_tag=span|heading_reach=0|heading_table=medium|p=0|div=251_plus|span=251_plus|table=51_250|headings=11_50,SF_bc08016399,high,heading=span|reach=0|table=medium|p=absent,87
sec_0001842566_0001654954-26-001280,0001842566,"Airship AI Holdings, Inc.",10-K,2026-02-17,2025-12-31,2025,sec/0001842566/0001654954-26-001280/airsp_10k.htm,1999072,medium,8886,1,203,201,8648,0,0,50,25,0.5,25,0.5,1,p,p,heading_tag=p|heading_reach=medium|heading_table=medium|p=251_plus|div=1_10|span=51_250|table=51_250|headings=11_50,SF_4c0b19f1d0,medium,heading=p|reach=medium|table=medium|p=present,88
sec_0000868857_0000868857-26-000011,0000868857,AECOM,10-Q,2026-02-10,2026-01-02,2026,sec/0000868857/0000868857-26-000011/acm-20260102.htm,1419572,medium,0,862,2921,58,7335,0,0,26,13,0.5,0,0.0,1,span,span,heading_tag=span|heading_reach=0|heading_table=medium|p=0|div=251_plus|span=251_plus|table=51_250|headings=11_50,SF_bc08016399,high,heading=span|reach=0|table=medium|p=absent,89
sec_0001495932_0001104659-26-019145,0001495932,"AGNT, Inc.",10-K,2026-02-24,2025-12-31,2025,sec/0001495932/0001104659-26-019145/expi-20251231x10k.htm,2172165,large,5469,856,3271,174,4893,28,0,78,74,0.9487,4,0.0513,1,p,p,heading_tag=p|heading_reach=low|heading_table=high|p=251_plus|div=251_plus|span=251_plus|table=51_250|headings=51_250,SF_857f1d7873,high,heading=p|reach=low|table=high|p=present,90
sec_0000095953_0000095953-26-000040,0000095953,ASCENT INDUSTRIES CO.,10-K,2026-03-03,2025-12-31,2025,sec/0000095953/0000095953-26-000040/acnt-20251231.htm,1692286,medium,0,1736,3759,61,8110,0,0,31,4,0.129,0,0.0,1,span,span,heading_tag=span|heading_reach=0|heading_table=low|p=0|div=251_plus|span=251_plus|table=51_250|headings=11_50,SF_0a484c4a62,high,heading=span|reach=0|table=low|p=absent,91
sec_0000943034_0000897101-22-000298,0000943034,AUTOSCOPE TECHNOLOGIES CORP,10-K,2022-03-22,2021-12-31,2021,sec/0000943034/0000897101-22-000298/aatc-20211231.htm,1499417,medium,2922,351,5772,109,3769,0,6,79,27,0.3418,0,0.0,1,span,span,heading_tag=span|heading_reach=0|heading_table=medium|p=251_plus|div=251_plus|span=251_plus|table=51_250|headings=51_250,SF_91b4940dd9,high,heading=span|reach=0|table=medium|p=present,92
sec_0001272842_0001193125-26-335336,0001272842,AIRGAIN INC,10-Q,2026-08-05,2026-06-30,2026,sec/0001272842/0001193125-26-335336/airg-20260630.htm,2878394,large,6442,160,6896,48,6622,0,0,37,24,0.6486,13,0.3514,1,span,span,heading_tag=span|heading_reach=medium|heading_table=medium|p=251_plus|div=51_250|span=251_plus|table=11_50|headings=11_50,SF_a2d4af7e19,medium,heading=span|reach=medium|table=medium|p=present,93
sec_0001158114_0001437749-26-015620,0001158114,"APPLIED OPTOELECTRONICS, INC.",10-Q,2026-05-07,2026-03-31,2026,sec/0001158114/0001437749-26-015620/aaoi20260331_10q.htm,1274741,medium,1410,278,197,64,4854,0,0,22,12,0.5455,10,0.4545,1,b,p,heading_tag=b|heading_reach=medium|heading_table=medium|p=251_plus|div=251_plus|span=51_250|table=51_250|headings=11_50,SF_f4eac69bba,medium,heading=b|reach=medium|table=medium|p=present,94
sec_0000769397_0000769397-25-000129,0000769397,"Autodesk, Inc.",10-Q,2025-11-26,2025-10-31,2025,sec/0000769397/0000769397-25-000129/adsk-20251031.htm,2180263,large,0,1729,4967,66,10933,0,0,26,13,0.5,0,0.0,1,span,span,heading_tag=span|heading_reach=0|heading_table=medium|p=0|div=251_plus|span=251_plus|table=51_250|headings=11_50,SF_bc08016399,high,heading=span|reach=0|table=medium|p=absent,95
sec_0001171008_0001493152-23-012694,0001171008,ADAMANT DRI PROCESSING & MINERALS GROUP,10-K,2023-04-18,2022-12-31,2022,sec/0001171008/0001493152-23-012694/form10-k.htm,411528,small,776,67,0,78,1853,0,0,31,27,0.871,4,0.129,1,b,p,heading_tag=b|heading_reach=low|heading_table=high|p=251_plus|div=51_250|span=0|table=51_250|headings=11_50,SF_607fa2421a,high,heading=b|reach=low|table=high|p=present,96
sec_0001144980_0001144980-26-000051,0001144980,ASBURY AUTOMOTIVE GROUP INC,10-K,2026-02-20,2025-12-31,2025,sec/0001144980/0001144980-26-000051/abg-20251231.htm,3163914,large,0,2247,6802,107,13408,0,0,54,27,0.5,0,0.0,1,span,span,heading_tag=span|heading_reach=0|heading_table=medium|p=0|div=251_plus|span=251_plus|table=51_250|headings=51_250,SF_14785e5fdd,high,heading=span|reach=0|table=medium|p=absent,97
sec_0001881487_0001193125-25-274194,0001881487,ProFrac Holding Corp.,10-Q,2025-11-10,2025-09-30,2025,sec/0001881487/0001193125-25-274194/acdc-20250930.htm,3490366,large,7819,329,8692,35,7814,0,0,19,15,0.7895,4,0.2105,1,span,span,heading_tag=span|heading_reach=low|heading_table=high|p=251_plus|div=251_plus|span=251_plus|table=11_50|headings=11_50,SF_7528b8821c,high,heading=span|reach=low|table=high|p=present,98
sec_0002083002_0001104659-26-008658,0002083002,American Drive Acquisition Co,10-Q,2026-01-30,2025-09-30,2025,sec/0002083002/0001104659-26-008658/adac-20250930x10q.htm,477757,small,1019,198,450,18,651,0,0,41,28,0.6829,13,0.3171,1,p,p,heading_tag=p|heading_reach=medium|heading_table=medium|p=251_plus|div=51_250|span=251_plus|table=11_50|headings=11_50,SF_f1eaf5528b,medium,heading=p|reach=medium|table=medium|p=present,99
sec_0002092897_0001193125-26-214833,0002092897,Armada Acquisition Corp. III,10-Q,2026-05-08,2026-03-31,2026,sec/0002092897/0001193125-26-214833/d77851d10q.htm,539618,small,98,1179,71,29,1929,0,0,27,14,0.5185,4,0.1481,1,p,div,heading_tag=p|heading_reach=low|heading_table=medium|p=51_250|div=251_plus|span=51_250|table=11_50|headings=11_50,SF_b84c643b6a,high,heading=p|reach=low|table=medium|p=present,100
